variante,merkmal,gelesen,p_ad_gelesen,p_ad_nicht,rd,rd_lo,rd_hi,uebernommen_ohne_lesebeleg
weit,runde,560,70.53571428571429,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,269
weit,cohort,598,53.84615384615385,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,241
weit,meldeformat,605,62.14876033057851,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,264
weit,sig_endzeile,626,77.47603833865814,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,313
weit,please_relay,604,50.82781456953642,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,232
eng_browse_raw,runde,349,62.17765042979943,56.51074589127687,5.666904538522555,-0.4830543213169024,11.816863398362013,447
eng_browse_raw,cohort,367,50.13623978201635,49.029754204398444,1.1064855776178995,-5.105469467181071,7.318440622416869,379
eng_browse_raw,meldeformat,372,59.946236559139784,54.296875,5.649361559139788,-0.4505109516293092,11.749234069908884,417
eng_browse_raw,sig_endzeile,379,75.98944591029023,67.01708278580814,8.972363124482087,3.5269706745694416,14.41775557439473,510
eng_browse_raw,please_relay,370,48.91891891891892,46.493506493506494,2.4254124254124267,-3.7678101635988117,8.618635014423665,358
ohne_archive,runde,553,70.34358047016275,46.84838160136286,23.49519886879989,17.946485797733665,29.043911939866113,275
ohne_archive,cohort,589,53.65025466893039,44.827586206896555,8.822668462033834,3.038008076751486,14.60732884731618,247
ohne_archive,meldeformat,598,61.87290969899666,49.815498154981555,12.057411544015107,6.323831529090754,17.79099155893946,270
ohne_archive,sig_endzeile,619,77.38287560581584,61.228406909788866,16.154468696026967,10.828494742502938,21.480442649551,319
ohne_archive,please_relay,597,50.58626465661642,43.646408839779006,6.939855816837415,1.1531279145183038,12.726583719156526,237
