n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,weit_alle,runde,erfunden
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,weit_alle,cohort,erfunden
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,weit_alle,meldeformat,erfunden
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,weit_alle,sig_endzeile,mitgebracht
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,weit_alle,please_relay,mitgebracht
360,62.22222222222222,780,56.41025641025641,5.8119658119658135,-0.2867339166030901,11.910665540534717,weit_nur_fremd,runde,erfunden
379,49.07651715039577,761,49.54007884362681,-0.46356169323102936,-6.6239913696411605,5.696867983179102,weit_nur_fremd,cohort,erfunden
385,58.96103896103896,755,54.70198675496689,4.259052206072067,-1.8033104119718917,10.321414824116026,weit_nur_fremd,meldeformat,erfunden
395,75.69620253164557,745,66.97986577181209,8.716336759833487,3.3036893121861812,14.128984207480794,weit_nur_fremd,sig_endzeile,mitgebracht
386,49.48186528497409,754,46.15384615384615,3.328019131127935,-2.798985722268082,9.455023984523953,weit_nur_fremd,please_relay,mitgebracht
331,82.4773413897281,809,48.331273176761435,34.14606821296666,28.79522396162393,39.496912464309396,weit_nur_eigene,runde,erfunden
373,55.22788203753352,767,46.544980443285525,8.682901594247989,2.524311788673364,14.841491399822612,weit_nur_eigene,cohort,erfunden
379,65.17150395778364,761,51.64257555847569,13.528928399307949,7.561189897995746,19.496666900620152,weit_nur_eigene,meldeformat,erfunden
398,80.65326633165829,742,64.28571428571429,16.367552045944002,11.176409442045223,21.558694649842778,weit_nur_eigene,sig_endzeile,mitgebracht
376,52.659574468085104,764,44.633507853403145,8.026066614681959,1.8700813172114195,14.182051912152499,weit_nur_eigene,please_relay,mitgebracht
349,62.17765042979943,791,56.51074589127687,5.666904538522555,-0.4830543213169024,11.816863398362013,eng_alle,runde,erfunden
367,50.13623978201635,773,49.029754204398444,1.1064855776178995,-5.105469467181071,7.318440622416869,eng_alle,cohort,erfunden
372,59.946236559139784,768,54.296875,5.649361559139788,-0.4505109516293092,11.749234069908884,eng_alle,meldeformat,erfunden
379,75.98944591029023,761,67.01708278580814,8.972363124482087,3.5269706745694416,14.41775557439473,eng_alle,sig_endzeile,mitgebracht
370,48.91891891891892,770,46.493506493506494,2.4254124254124267,-3.7678101635988117,8.618635014423665,eng_alle,please_relay,mitgebracht
330,60.60606060606061,810,57.28395061728395,3.322109988776656,-2.9547274667876584,9.59894744434097,eng_nur_fremd,runde,erfunden
346,48.26589595375722,794,49.87405541561713,-1.6081594618599038,-7.918427196632501,4.702108272912693,eng_nur_fremd,cohort,erfunden
352,58.23863636363637,788,55.203045685279186,3.0355906783571807,-3.177232012942809,9.248413369657172,eng_nur_fremd,meldeformat,erfunden
359,75.20891364902506,781,67.6056338028169,7.603279846208166,2.060334110874578,13.146225581541755,eng_nur_fremd,sig_endzeile,mitgebracht
351,48.148148148148145,789,46.89480354879594,1.2533445993522019,-5.027556012447855,7.534245211152259,eng_nur_fremd,please_relay,mitgebracht
388,77.57731958762886,752,48.27127659574468,29.306042991884183,23.83075592364195,34.78133006012642,nur_editform_alle,runde,erfunden
425,52.94117647058824,715,47.27272727272727,5.668449197860964,-0.3241845191346626,11.66108291485659,nur_editform_alle,cohort,erfunden
