n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,fenster,scope
505,70.29702970297029,635,48.661417322834644,21.635612380135647,16.06807370683426,27.20315105343704,runde,vor  0..600 s,weit
547,53.199268738574034,593,45.86846543001686,7.330803308557171,1.5367772116000717,13.124829405514271,cohort,vor  0..600 s,weit
553,61.84448462929476,587,50.76660988074957,11.077874748545192,5.355129187252334,16.80062030983805,meldeformat,vor  0..600 s,weit
574,77.70034843205575,566,62.19081272084806,15.50953571120769,10.260169118628088,20.75890230378729,sig_endzeile,vor  0..600 s,weit
544,51.28676470588235,596,43.624161073825505,7.662603632056847,1.875135323388493,13.4500719407252,please_relay,vor  0..600 s,weit
273,55.67765567765568,867,59.05420991926182,-3.3765542416061445,-10.117467349993364,3.3643588667810755,runde,vor  0..600 s,weit_fremd
297,48.148148148148145,843,49.8220640569395,-1.6739159087913569,-8.28336700214966,4.935535184566947,cohort,vor  0..600 s,weit_fremd
303,55.775577557755774,837,56.272401433691755,-0.4968238759359811,-7.021177248868948,6.027529496996986,meldeformat,vor  0..600 s,weit_fremd
314,74.84076433121018,826,68.15980629539952,6.680958035810669,0.9250952266201123,12.436820845001225,sig_endzeile,vor  0..600 s,weit_fremd
300,47.66666666666667,840,47.14285714285714,0.5238095238095264,-6.059473502721188,7.107092550340241,please_relay,vor  0..600 s,weit_fremd
549,70.12750455373407,591,47.20812182741117,22.919382726322894,17.364331000378215,28.474434452267577,runde,vor  0..3600 s,weit
585,53.504273504273506,555,45.04504504504504,8.459228459228457,2.6738142963446907,14.244642622112224,cohort,vor  0..3600 s,weit
594,61.95286195286195,546,49.81684981684982,12.13601213601213,6.405928105854383,17.86609616616988,meldeformat,vor  0..3600 s,weit
616,77.59740259740259,524,61.06870229007634,16.52870030732626,11.211630382133759,21.845770232518763,sig_endzeile,vor  0..3600 s,weit
591,50.76142131979695,549,43.533697632058285,7.2277236877386635,1.4443255176988217,13.011121857778503,please_relay,vor  0..3600 s,weit
340,60.588235294117645,800,57.25,3.338235294117642,-2.8853436105343486,9.561814198769634,runde,vor  0..3600 s,weit_fremd
357,48.739495798319325,783,49.68071519795657,-0.9412193996372498,-7.1982161301441545,5.315777330869655,cohort,vor  0..3600 s,weit_fremd
364,58.24175824175825,776,55.154639175257735,3.08711906650051,-3.0701920897477515,9.244430222748772,meldeformat,vor  0..3600 s,weit_fremd
377,75.59681697612733,763,67.2346002621232,8.362216714004123,2.8950383854933226,13.829395042514921,sig_endzeile,vor  0..3600 s,weit_fremd
365,49.04109589041096,775,46.45161290322581,2.589482987185149,-3.6260215431382234,8.80498751750852,please_relay,vor  0..3600 s,weit_fremd
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,runde,vor unbegrenzt,weit
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,cohort,vor unbegrenzt,weit
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,meldeformat,vor unbegrenzt,weit
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,sig_endzeile,vor unbegrenzt,weit
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,please_relay,vor unbegrenzt,weit
360,62.22222222222222,780,56.41025641025641,5.8119658119658135,-0.2867339166030901,11.910665540534717,runde,vor unbegrenzt,weit_fremd
379,49.07651715039577,761,49.54007884362681,-0.46356169323102936,-6.6239913696411605,5.696867983179102,cohort,vor unbegrenzt,weit_fremd
385,58.96103896103896,755,54.70198675496689,4.259052206072067,-1.8033104119718917,10.321414824116026,meldeformat,vor unbegrenzt,weit_fremd
395,75.69620253164557,745,66.97986577181209,8.716336759833487,3.3036893121861812,14.128984207480794,sig_endzeile,vor unbegrenzt,weit_fremd
