n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,variante
1034,57.446808510638306,106,66.0377358490566,-8.590927338418297,-18.096941364924835,0.9150866880882402,runde,las_irgendeine_seite
670,56.56716417910448,470,60.63829787234043,-4.071133693235951,-9.867343894832745,1.7250765083608428,runde,n_pre>=2
328,59.45121951219512,812,57.758620689655174,1.692598822539948,-4.61430893509847,7.999506580178366,runde,n_pre>=5
235,62.97872340425532,905,57.01657458563536,5.962148818619961,-1.0033094294804854,12.927607066720409,runde,n_pre>=10
140,63.57142857142857,1000,57.49999999999999,6.071428571428572,-2.468706673402156,14.611563816259299,runde,n_pre>=25
1034,49.129593810444874,106,51.886792452830186,-2.7571986423853168,-12.74519848047577,7.230801195705136,cohort,las_irgendeine_seite
670,48.208955223880594,470,51.06382978723404,-2.8548745633534436,-8.749001101857198,3.039251975150311,cohort,n_pre>=2
328,49.69512195121951,812,49.26108374384236,0.4340382073771465,-5.977233290865813,6.845309705620107,cohort,n_pre>=5
235,47.65957446808511,905,49.83425414364641,-2.174679675561303,-9.343401996586467,4.994042645463861,cohort,n_pre>=10
140,39.285714285714285,1000,50.8,-11.514285714285716,-20.177514983790246,-2.851056444781186,cohort,n_pre>=25
1034,55.802707930367504,106,59.43396226415094,-3.63125433378344,-13.456802386758865,6.194293719191984,meldeformat,las_irgendeine_seite
670,55.52238805970149,470,57.02127659574469,-1.498888536043197,-7.346158411586959,4.348381339500565,meldeformat,n_pre>=2
328,61.58536585365854,812,53.94088669950739,7.644479154151151,1.3625543524908994,13.926403955811404,meldeformat,n_pre>=5
235,64.25531914893618,905,54.03314917127072,10.222169977665452,3.28753207851817,17.156807876812735,meldeformat,n_pre>=10
140,61.42857142857143,1000,55.400000000000006,6.028571428571428,-2.6032290176854254,14.660371874828282,meldeformat,n_pre>=25
1034,69.82591876208897,106,71.69811320754717,-1.8721944454581863,-10.892661372970872,7.148272482054501,sig_endzeile,las_irgendeine_seite
670,69.1044776119403,470,71.27659574468085,-2.1721181327405525,-7.555009923110104,3.2107736576289994,sig_endzeile,n_pre>=2
328,75.3048780487805,812,67.85714285714286,7.447735191637628,1.7820751987275592,13.113395184547697,sig_endzeile,n_pre>=5
235,78.72340425531915,905,67.73480662983425,10.988597625484896,4.934003630110213,17.04319162085958,sig_endzeile,n_pre>=10
140,77.85714285714286,1000,68.89999999999999,8.957142857142863,1.504777993289244,16.409507720996483,sig_endzeile,n_pre>=25
1034,47.00193423597679,106,50.0,-2.9980657640232113,-12.990992278550587,6.994860750504165,please_relay,las_irgendeine_seite
670,47.01492537313433,470,47.65957446808511,-0.6446490949507777,-6.532985683834902,5.243687493933346,please_relay,n_pre>=2
328,48.78048780487805,812,46.67487684729064,2.1056109575874062,-4.300506985473559,8.511728900648372,please_relay,n_pre>=5
235,48.51063829787234,905,46.96132596685083,1.5493123310215073,-5.620400584754466,8.71902524679748,please_relay,n_pre>=10
140,47.14285714285714,1000,47.3,-0.1571428571428557,-8.986185542281486,8.671899827995775,please_relay,n_pre>=25
