n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,variante
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,runde,alle_quellen
388,61.08247422680413,752,56.78191489361703,4.300559333187104,-1.7055071285327523,10.30662579490696,runde,ohne_erstseite
334,60.47904191616767,806,57.32009925558312,3.1589426605845405,-3.0981903592684183,9.4160756804375,runde,ohne_erstseite_eng
270,92.22222222222223,870,47.701149425287355,44.521072796934874,39.91440725444366,49.12773833942609,runde,NUR_erstseite
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,cohort,alle_quellen
408,49.26470588235294,732,49.45355191256831,-0.18884603021536162,-6.242999686742569,5.8653076263118455,cohort,ohne_erstseite
350,48.57142857142857,790,49.74683544303797,-1.1754068716094024,-7.466213684593575,5.115399941374771,cohort,ohne_erstseite_eng
307,57.98045602605863,833,46.21848739495798,11.76196863110065,5.285093970530168,18.23884329167113,cohort,NUR_erstseite
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,meldeformat,alle_quellen
413,57.14285714285714,727,55.57083906464925,1.572018078207893,-4.413474744987199,7.557510901402985,meldeformat,ohne_erstseite
356,58.14606741573034,784,55.22959183673469,2.9164755789956476,-3.2784776415146335,9.111428799505928,meldeformat,ohne_erstseite_eng
313,70.92651757188499,827,50.5441354292624,20.38238214262259,14.306149995494376,26.458614289750805,meldeformat,NUR_erstseite
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,sig_endzeile,alle_quellen
426,73.47417840375586,714,67.92717086834735,5.547007535408522,0.13431429312108223,10.95970077769596,sig_endzeile,ohne_erstseite
363,74.93112947658402,777,67.6962676962677,7.234861780316326,1.6948771067758668,12.774846453856787,sig_endzeile,ohne_erstseite_eng
328,86.89024390243902,812,63.177339901477836,23.71290400096119,18.77857972801471,28.647228273907672,sig_endzeile,NUR_erstseite
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,please_relay,alle_quellen
414,47.82608695652174,726,46.96969696969697,0.8563899868247682,-5.171401898070187,6.884181871719723,please_relay,ohne_erstseite
355,48.45070422535211,785,46.7515923566879,1.699111868664216,-4.562701090641154,7.960924827969586,please_relay,ohne_erstseite_eng
311,58.19935691318327,829,43.184559710494575,15.014797202688701,8.578930971796755,21.450663433580647,please_relay,NUR_erstseite
