n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,merkmal,variante
642,66.97819314641744,498,46.98795180722892,19.990241339188525,14.293771185377471,25.686711492999574,runde,alt_300s_weit
473,59.40803382663847,667,57.42128935532234,1.9867444713161375,-3.815596811371793,7.789085754004069,runde,alt_300s_eng
705,52.05673758865248,435,45.05747126436781,6.999266324284664,1.0442625382035096,12.954270110365817,cohort,alt_300s_weit
524,48.854961832061065,616,49.83766233766234,-0.9827005056012694,-6.805876345315001,4.840475334112463,cohort,alt_300s_eng
717,59.693165969316595,423,50.11820330969267,9.574962659623932,3.608753466319366,15.541171852928498,meldeformat,alt_300s_weit
536,56.90298507462687,604,55.4635761589404,1.4394089156864687,-4.330096311911666,7.208914143284603,meldeformat,alt_300s_eng
737,74.76255088195387,403,61.29032258064516,13.472228301308709,7.7756380463116255,19.16881855630579,sig_endzeile,alt_300s_weit
549,72.49544626593807,591,67.68189509306261,4.813551172875464,-0.4940611371030912,10.121163482854017,sig_endzeile,alt_300s_eng
718,49.16434540389972,422,44.07582938388626,5.088516020013467,-0.895722772188582,11.072754812215516,please_relay,alt_300s_weit
538,47.95539033457249,602,46.67774086378738,1.2776494707851138,-4.527908642007429,7.083207583577655,please_relay,alt_300s_eng
