merkmal,scope,modell,beta_G,lo,hi,or_G,p
runde,weit,roh,1.0180218235779337,0.7738058406234323,1.2622378065324351,2.767714317900184,3.0757206662268773e-16
runde,weit,+lesemenge,1.6276490687372775,1.2683009459056147,1.9869971915689404,5.091889953099631,6.824449771164466e-19
runde,weit,+zeit,1.5396483228680464,1.1560780343320354,1.9232186114040575,4.6629501296768865,3.620133855313311e-15
runde,weit,+volumen+leben,1.4003858374406397,1.0040812341964156,1.7966904406848638,4.056764916709875,4.3328817982780045e-12
runde,weit,+familie,1.3787124948478273,0.9601023799722417,1.797322609723413,3.9697872142931434,1.0796620689700971e-10
runde,weit,+eigene_exposition,0.6865846128575058,0.1866407299172621,1.1865284957977495,1.986917837833654,0.007108592199328268
runde,weit_fremd,roh,0.2411620568168881,-0.014624556288352936,0.49694866992212916,1.2727272727272727,0.06461140915807895
runde,weit_fremd,+lesemenge,0.012192595578294784,-0.3888763861099261,0.41326157726651563,1.0122672282854606,0.9524865783483852
runde,weit_fremd,+zeit,-0.025222213173604565,-0.46155450790782077,0.41111008156061163,0.9750932093955145,0.9097943727678183
runde,weit_fremd,+volumen+leben,-0.060609890311708936,-0.5095202659228676,0.3883004852994497,0.941190335635986,0.7912941084255429
runde,weit_fremd,+familie,-0.10243241166195857,-0.5795553469716596,0.37469052364774236,0.9026391555716377,0.6739100157137264
runde,weit_fremd,+eigene_exposition,0.7771522288974562,0.20743983445950387,1.3468646233354085,2.1752687690808563,0.00750280330616406
runde,eng_fremd,roh,0.13733713892392221,-0.12370111449692653,0.39837539234477093,1.1472148541114047,0.3024503717629803
runde,eng_fremd,+lesemenge,-0.24784616378466956,-0.6555291320368473,0.1598368044675081,0.780480000132613,0.2334340448169424
runde,eng_fremd,+zeit,-0.2181528725677373,-0.6600122713149545,0.2237065261794799,0.804002522341245,0.3332029350736381
runde,eng_fremd,+volumen+leben,-0.3116526078720803,-0.7647523864780605,0.1414471707338999,0.7322358570223545,0.17761536251937282
runde,eng_fremd,+familie,-0.30097335353255067,-0.7819457913903602,0.17999908432525896,0.7400974934677317,0.22001442405775662
runde,eng_fremd,+eigene_exposition,0.39527531381222086,-0.1701882459238881,0.9607388735483298,1.4847929186529303,0.1706567962609873
cohort,weit,roh,0.3764640110854794,0.14289964089462848,0.6100283812763303,1.457123098201937,0.0015821937809787439
cohort,weit,+lesemenge,0.7936084361746092,0.4689199925757497,1.1182968797734687,2.2113616039022665,1.6623208437967536e-06
cohort,weit,+zeit,0.7672235779375711,0.43949635144262617,1.094950804432516,2.1537781477097457,4.465608443440065e-06
cohort,weit,+volumen+leben,0.7118550236033746,0.37728006974511624,1.046429977461633,2.0377678622019895,3.043668719629217e-05
cohort,weit,+familie,0.626533602599404,0.2841873383941184,0.9688798668046896,1.8711133024107383,0.0003344675749113329
cohort,weit,+eigene_exposition,0.5206872410081517,0.1681056352528797,0.8732688467634236,1.6831840053786138,0.0037976450663004292
cohort,weit_fremd,roh,-0.018546150051969378,-0.26502640026355384,0.2279341001596151,0.9816247715122101,0.8827546159848648
cohort,weit_fremd,+lesemenge,0.07783174291956721,-0.306525234358364,0.46218872019749846,1.080940767430619,0.6914432536408024
cohort,weit_fremd,+zeit,0.12411373883523423,-0.2637803091397403,0.5120077868102088,1.1321446324882614,0.5305690661157629
cohort,weit_fremd,+volumen+leben,0.1172092563967272,-0.27577269684588424,0.5101912096393386,1.1243546834852072,0.5588288713622794
cohort,weit_fremd,+familie,0.20346004032713758,-0.19976730801041162,0.6066873886646867,1.2256361806418343,0.3226754799477539
cohort,weit_fremd,+eigene_exposition,0.3554827344922807,-0.059126235796501336,0.7700917047810627,1.4268692870755535,0.092862050631977
cohort,eng_fremd,roh,-0.06435419939404265,-0.3169770739242017,0.18826867513611645,0.9376728175610858,0.6175690880184066
cohort,eng_fremd,+lesemenge,-0.03114186932191318,-0.41506290161197246,0.35277916296814604,0.969338043989672,0.8736799149342435
cohort,eng_fremd,+zeit,0.037962904820451226,-0.35016242924465246,0.4260882388855549,1.0386927016715766,0.8479698050326518
cohort,eng_fremd,+volumen+leben,0.010455478644488928,-0.3828695272644239,0.40378048455340176,1.010510328153952,0.9584479892535415
cohort,eng_fremd,+familie,0.09360951857088001,-0.3113508548008845,0.4985698919426445,1.0981308624785728,0.6504996525873779
cohort,eng_fremd,+eigene_exposition,0.2156978221528856,-0.19769622951096857,0.6290918738167398,1.2407274020134593,0.30646157024468845
meldeformat,weit,roh,0.5220368575690378,0.28598659165921775,0.758087123478858,1.6854571920074073,1.4600077191174233e-05
meldeformat,weit,+lesemenge,0.4827729642971384,0.1584893299564969,0.8070565986377799,1.6205619378242255,0.0035237018536243333
meldeformat,weit,+zeit,0.45090883841474505,0.11584475669482408,0.785972920134666,1.5697381757498645,0.008348302735721244
meldeformat,weit,+volumen+leben,0.32605814765208424,-0.019102732746415996,0.6712190280505845,1.3854959298658396,0.06409407392986441
meldeformat,weit,+familie,0.2130444443473125,-0.13958602890918603,0.5656749176038111,1.2374396472189209,0.23635398684533981
meldeformat,weit,+eigene_exposition,-0.08077736738876798,-0.4538506122618797,0.2922958774843438,0.9223990246902863,0.6712910174982264
