time,n,sig,hd,med,labels
2026-06-16 06:00:00+00:00,86,0.9186046511627907,0.05813953488372093,280.5,19
2026-06-16 12:00:00+00:00,26,0.9615384615384616,0.0,208.0,7
2026-06-16 18:00:00+00:00,986,0.8772819472616633,0.012170385395537525,218.0,399
2026-06-17 00:00:00+00:00,467,0.9271948608137045,0.021413276231263382,250.0,201
2026-06-17 06:00:00+00:00,162,0.9012345679012346,0.024691358024691357,279.0,76
2026-06-17 12:00:00+00:00,108,0.9074074074074074,0.037037037037037035,266.5,60
2026-06-17 18:00:00+00:00,87,0.9540229885057471,0.0,267.0,46
2026-06-18 00:00:00+00:00,28,1.0,0.0,303.0,15
2026-06-18 12:00:00+00:00,22,0.8636363636363636,0.0,267.5,16
2026-06-18 18:00:00+00:00,53,0.7735849056603774,0.1320754716981132,264.0,22
2026-06-19 00:00:00+00:00,59,0.864406779661017,0.01694915254237288,220.0,24
2026-06-19 06:00:00+00:00,56,0.8571428571428571,0.017857142857142856,296.0,25
2026-06-19 12:00:00+00:00,108,0.9814814814814815,0.027777777777777776,255.0,43
2026-06-19 18:00:00+00:00,97,0.9690721649484536,0.09278350515463918,218.0,36
2026-06-20 00:00:00+00:00,310,0.9806451612903225,0.1870967741935484,303.5,116
2026-06-20 06:00:00+00:00,158,0.930379746835443,0.11392405063291139,339.0,82
2026-06-20 12:00:00+00:00,53,1.0,0.16981132075471697,293.0,28
2026-06-21 00:00:00+00:00,59,0.9322033898305084,0.01694915254237288,287.0,32
2026-06-21 06:00:00+00:00,186,0.9623655913978495,0.026881720430107527,259.0,63
2026-06-21 12:00:00+00:00,100,0.99,0.09,337.5,43
2026-06-21 18:00:00+00:00,131,0.9312977099236641,0.03816793893129771,289.0,59
