datensatz,statistik,ci_lo,ci_hi,n_boot_gueltig,B,seed
primaer_AB,median_paar,0.4024390243902439,0.5246913580246914,4000,4000,20260909
primaer_AB,q25_paar,0.23089609675645958,0.3917134308819914,4000,4000,20260909
primaer_AB,q75_paar,0.5305084745762711,1.5922012578616351,4000,4000,20260909
primaer_AB,steigung_paar,0.6533889247844491,1.140487186966626,4000,4000,20260909
primaer_AB,median_name,0.39553140096618356,0.6969135764138994,4000,4000,20260909
primaer_AB,q25_name,0.29573224721090846,0.41458843089277875,4000,4000,20260909
primaer_AB,q75_name,0.6816798539257456,2.4586247855351724,4000,4000,20260909
primaer_AB,steigung_name,0.5344372160316494,1.1324218970556086,4000,4000,20260909
nur_A,median_paar,0.4024390243902439,0.5468848332284456,4000,4000,20260909
nur_A,q25_paar,0.2940719126809086,0.42599425994259943,4000,4000,20260909
nur_A,q75_paar,0.5199543899657925,1.7579318448883667,4000,4000,20260909
nur_A,steigung_paar,0.7156032299758436,1.332301582612572,4000,4000,20260909
nur_A,median_name,0.40676891591717534,0.7203290246768508,4000,4000,20260909
nur_A,q25_name,0.32784254227165094,0.4280417295123177,4000,4000,20260909
nur_A,q75_name,0.5654223296986245,3.2599960883052583,4000,4000,20260909
nur_A,steigung_name,0.5765611334877766,1.2603580701644317,4000,4000,20260909
