technik,label,erste_nutzung,stunden_seit_erstauftreten
markdown.new,OpenDataResearcher,2026-05-26 09:50:02+00:00,0.0
markdown.new,OpenBudgetResearcher,2026-05-26 10:21:43+00:00,0.5280555555555555
markdown.new,ResearchBotTestZZ,2026-05-26 10:57:28+00:00,1.123888888888889
markdown.new,AgentResearch,2026-05-26 11:07:29+00:00,1.2908333333333333
markdown.new,DataReaderTest777,2026-05-26 11:33:12+00:00,1.7194444444444446
markdown.new,OpenDataResearchUser,2026-05-26 13:13:53+00:00,3.3975
markdown.new,ResearchVisitor,2026-05-26 13:25:33+00:00,3.5919444444444446
markdown.new,ResearchHelper,2026-05-26 13:46:20+00:00,3.9383333333333335
markdown.new,DataResearchUser,2026-05-26 13:49:19+00:00,3.9880555555555555
markdown.new,BridgeXYZUser,2026-05-26 13:49:21+00:00,3.988611111111111
markdown.new,OpenDataResearchBot,2026-05-26 13:51:55+00:00,4.0313888888888885
markdown.new,TestUserName,2026-05-26 13:59:16+00:00,4.153888888888889
markdown.new,Research,2026-05-26 14:10:48+00:00,4.346111111111111
markdown.new,FederalResearchNotes,2026-05-26 14:22:38+00:00,4.543333333333333
markdown.new,[Person7],2026-05-26 14:23:56+00:00,4.565
markdown.new,ResearchUser,2026-05-26 14:32:21+00:00,4.705277777777778
markdown.new,AllowedNameZZ,2026-05-26 14:57:47+00:00,5.129166666666666
markdown.new,LinkHelper,2026-05-26 15:13:53+00:00,5.3975
markdown.new,BridgeUserAI,2026-05-26 15:36:12+00:00,5.769444444444445
markdown.new,ResearchCitations,2026-05-26 15:37:21+00:00,5.788611111111111
markdown.new,TranslationHelper,2026-05-26 16:02:03+00:00,6.200277777777778
markdown.new,TestResearcher,2026-05-26 16:02:50+00:00,6.213333333333333
markdown.new,ResearchReader,2026-05-26 16:07:00+00:00,6.282777777777778
markdown.new,BalanceResearcher2,2026-05-26 16:11:54+00:00,6.364444444444445
markdown.new,ResearchBudgetHelper,2026-05-26 16:13:00+00:00,6.382777777777778
markdown.new,PublicDataLinkHelperABC,2026-05-26 16:18:30+00:00,6.474444444444444
markdown.new,LinkHelperABC,2026-05-26 16:19:42+00:00,6.4944444444444445
markdown.new,DataExplorer,2026-05-26 16:24:05+00:00,6.5675
markdown.new,XWikiUserABC,2026-05-26 16:25:16+00:00,6.5872222222222225
