hour,n,median_factor,q25,q75,mean_logf,sd_logf,datensatz
0,2,0.27907113087088387,0.20458583155016696,0.35355643019160077,-1.4439911959193543,0.8421028088963728,primaer_AB
1,2,0.21704410410259217,0.16000324224660345,0.27408496595858084,-1.6893242138906657,0.8259960136767522,primaer_AB
2,2,1.316155640705059,0.7449210682900025,1.8873902131201157,-0.42545059467718394,1.8739075812737065,primaer_AB
3,1,0.2175732217573222,0.2175732217573222,0.2175732217573222,-1.5252198333500833,,primaer_AB
4,2,1.7342334605543486,0.924303382794566,2.5441635383141312,-0.47905300004178786,2.3889384457435052,primaer_AB
7,1,0.23089609675645958,0.23089609675645958,0.23089609675645958,-1.4657874672407083,,primaer_AB
8,1,0.42689434364994666,0.42689434364994666,0.42689434364994666,-0.8512187351304401,,primaer_AB
9,3,0.39553140096618356,0.24389600218838256,0.7735748998016607,-1.0564983012139333,1.2670856957276528,primaer_AB
10,13,0.42599425994259943,0.3554987212276215,0.5305084745762711,-0.674195178444432,0.6026270580681853,primaer_AB
11,5,0.420844327176781,0.4180064308681672,1.5922012578616351,-0.27299577960043486,0.8895747534323037,primaer_AB
14,2,0.4863555800024447,0.46718769099132135,0.505523469013568,-0.7239314627186959,0.11170361546255674,primaer_AB
15,1,0.156800363595046,0.156800363595046,0.156800363595046,-1.8527818522225614,,primaer_AB
19,16,0.489520809152711,0.3510706082711286,0.7109171707802184,-0.5072554126112476,0.9434654233115739,primaer_AB
20,7,0.48138916583582586,0.38911113440321743,3.318272280825686,0.15476279283797537,1.753330902443005,primaer_AB
21,7,0.5199543899657925,0.405323929121465,0.8510001723898004,-0.1088585920160827,1.5449000013212055,primaer_AB
22,2,3.5473172875782866,1.940773253119149,5.153861322037424,0.40757730712944207,2.1262779329926866,primaer_AB
23,4,0.9527669008407232,0.6583805805163315,1.5932020905157183,-0.22202759457613153,1.2700923635217138,primaer_AB
0,11,0.7774663677130045,0.39342985842985845,3.520150536444798,-0.03831811458976692,1.606129123590912,mit_Ereignissen_ABC
1,16,0.9666491641721808,0.3353822371877126,3.4582286683274015,0.13981540430874542,1.430514473529082,mit_Ereignissen_ABC
2,15,2.750263435194942,0.7959458779858024,5.646814930371782,0.77135136095091,1.3447998263653347,mit_Ereignissen_ABC
3,15,1.3229475766567755,0.29723449729363366,2.1908888991078816,-0.042600533676858884,1.3833430540585012,mit_Ereignissen_ABC
4,10,0.9394124241692282,0.33733111849430025,2.853037901958082,-0.07839458113255919,1.3697730436479807,mit_Ereignissen_ABC
5,11,0.36340445269016697,0.24567473264832937,1.775838393404067,-0.4394933423808967,1.4000802353250865,mit_Ereignissen_ABC
6,9,0.4762752075919336,0.19152880775812892,1.0484087102177555,-0.711154134656181,1.093698672052801,mit_Ereignissen_ABC
7,5,2.1305732484076434,1.4487572352740892,4.225951698731069,0.6788689524403893,1.403856984680434,mit_Ereignissen_ABC
8,7,0.49273255813953487,0.15224413573376433,0.7233848247540827,-0.8870699757747433,1.2736452931896662,mit_Ereignissen_ABC
9,12,3.192905218053932,0.28615271005003334,6.813455784574468,0.4185318793868569,1.9278930657224576,mit_Ereignissen_ABC
10,29,0.6864098837209303,0.3745275888133031,1.792975513232748,-0.09812217980899293,1.1875882316423987,mit_Ereignissen_ABC
11,19,0.7891876009989717,0.4194253790224741,1.4174814520402756,-0.09365571673441153,0.9998172327664535,mit_Ereignissen_ABC
12,7,0.868632707774799,0.25131519051741835,1.247489576071572,-0.4760634861012745,1.0363311390591963,mit_Ereignissen_ABC
13,6,1.2171528720036184,0.2520844934549533,4.6760412011982195,-0.11596221762874874,1.7528692531571841,mit_Ereignissen_ABC
14,5,0.40724108896996913,0.24531017369727048,0.44801980198019803,-1.1661772467813492,0.5845020579990838,mit_Ereignissen_ABC
15,4,0.2524774842628724,0.22594302494990554,1.8639906135317563,-0.6763784457820647,1.7324480547208456,mit_Ereignissen_ABC
18,5,1.272419627749577,0.3691639522258415,2.6595744680851063,0.023050453132755132,1.6658510531795898,mit_Ereignissen_ABC
19,45,1.6947424892703862,0.7758858720662678,3.426216640502355,0.47578927955220873,1.0232643072800198,mit_Ereignissen_ABC
20,19,1.1609848484848484,0.48451890010180765,3.252484899457145,0.23866387549123766,1.3465560943771284,mit_Ereignissen_ABC
21,14,0.5246711552585346,0.4683094202839326,6.802129762794525,0.30314842501101874,1.6499107480033508,mit_Ereignissen_ABC
22,6,2.2888396368056054,0.37399375365056814,6.1178928498597305,0.4284574391634582,1.6020951723191854,mit_Ereignissen_ABC
23,11,0.919732441471572,0.5718566208693343,1.4507707996724557,-0.2094410328480352,0.8048534883838079,mit_Ereignissen_ABC
